Feature,Coefficient
Localidad_Villa Clara,2.1116121952422324e-11
Localidad_Parera,2.1111741144158134e-11
Localidad_Justo Daract,2.1109368121986537e-11
Localidad_Santo Pipó,2.110152973232609e-11
Localidad_Rosario de la Frontera,2.1097636446184617e-11
Localidad_Tobuna,2.1088357110502202e-11
Localidad_Acheral,2.108125004714607e-11
Localidad_Perito Moreno,2.1078061566103853e-11
Localidad_Villa Río Bermejito,2.1076229847083464e-11
Localidad_Avia Terai,2.1072930117500544e-11
Localidad_Santa Elena,2.1072567091805215e-11
Localidad_Realicó,2.1070969481568873e-11
Localidad_Urutaú,2.1061102095258467e-11
Localidad_Suncho Corral,2.1060004680169627e-11
Localidad_Fraile Pintado,2.1055784974516193e-11
Localidad_El Foyel,2.105183142920613e-11
Localidad_Ituzaingó,2.1050957995385778e-11
Localidad_Mansupa,2.1045668661516794e-11
Localidad_Macachín,2.103724771902759e-11
Localidad_La Leonesa,2.1026322359118932e-11
Localidad_Laguna Escondida,2.102183469474472e-11
Localidad_Aguilares,2.1010773319621762e-11
Localidad_Metileo,2.1001054835285677e-11
Localidad_San José del Rincón,2.0989626477936648e-11
Localidad_Purmamarca,2.098813403359489e-11
Localidad_Barrio Chacra Monte,2.097573684151282e-11
Localidad_Itatí,2.097368473069689e-11
Localidad_Susques,2.0972464908342906e-11
Localidad_Dina Huapi,2.0959526394786296e-11
Localidad_Villa Fiad - Ingenio Leales,2.0959099339559575e-11
Localidad_Villa Basilio Nievas,2.095542433211352e-11
Partido_Zonda,2.095542433211352e-11
Localidad_Guerrero,2.0949125989532125e-11
Localidad_Ramada Paso,2.0948950940629798e-11
Localidad_Speluzzi,2.094304752650028e-11
Localidad_Punta de los Llanos,2.0941349924891585e-11
Localidad_Comallo,2.0938568176732913e-11
Localidad_Guanacache,2.0936843906367302e-11
Localidad_3 de Mayo,2.093563196854781e-11
Localidad_Mocoretá,2.0915238667046965e-11
Localidad_Lapachito,2.0914488460762088e-11
Localidad_Arroyo del Medio,2.0914142387968793e-11
