Provincia,Partido,Localidad,Poblacion,ADSL,Cablemodem,Dial Up,Fibra optica,Satelital,Wireless,Telefonia Fija,3G,4G,Link,Latitud,Longitud
SALTA,Molinos,La Puerta,386,--,--,--,--,--,--,SI,--,--,66119010,-25.28045381,-66.45083966
SALTA,Molinos,Molinos,1183,SI,--,--,SI,--,SI,SI,--,SI,66119020,-25.44424329,-66.30885009
SALTA,Molinos,Seclantás,560,--,--,--,SI,SI,SI,SI,--,SI,66119030,-25.33050996,-66.24844662
SALTA,Orán,Aguas Blancas,2395,--,--,--,--,SI,SI,SI,--,SI,66126010,-22.72456119,-64.34631922
SALTA,Orán,Colonia Santa Rosa,15562,--,SI,--,--,SI,SI,SI,SI,SI,66126020,-23.38859572,-64.42343332
SALTA,Orán,El Tabacal,1143,--,--,--,SI,--,--,SI,--,SI,66126030,-23.25002704,-64.24450589
SANTA CRUZ,Deseado,Las Heras,17821,--,--,--,SI,SI,SI,--,SI,SI,78014060,-46.54245538,-68.93417732
SANTA CRUZ,Deseado,Pico Truncado,20889,--,--,--,SI,SI,SI,--,SI,SI,78014070,-46.79389812,-67.95757049
SANTA CRUZ,Deseado,Puerto Deseado,14183,SI,--,SI,--,SI,--,SI,SI,SI,78014080,-47.75146493,-65.90120437
SANTA CRUZ,Deseado,Tellier,58,--,--,--,--,SI,--,--,--,--,78014090,-47.64876861,-66.04463568
SANTA CRUZ,Güer Aike,28 de Noviembre,6145,--,--,--,SI,SI,SI,SI,SI,SI,78021060,-51.57875815,-72.20804109
SANTA CRUZ,Güer Aike,El Turbio (Est. Gobernador Mayer),55,--,--,--,--,SI,--,--,--,--,78021010,-51.68053385,-72.08748607
SANTA CRUZ,Güer Aike,Julia Dufour,293,--,--,--,--,--,--,--,--,SI,78021020,-51.54061118,-72.23989673
SANTA CRUZ,Güer Aike,Mina 3,27,--,--,--,--,SI,--,--,SI,--,78021030,-51.54876605,-72.23339098
SANTA CRUZ,Güer Aike,Río Gallegos,95796,--,SI,SI,SI,SI,--,SI,SI,SI,78021040,-51.62143498,-69.22905093
SANTA CRUZ,Güer Aike,Rospentek,677,--,--,--,--,--,--,SI,--,--,78021050,-51.66393289,-72.14269883
SANTA CRUZ,Güer Aike,Yacimientos Río Turbio,8814,--,--,--,--,SI,--,SI,SI,SI,78021070,-51.53283837,-72.33410321
SANTA CRUZ,Lago Argentino,El Calafate,16655,SI,--,--,SI,SI,SI,SI,SI,SI,78028010,-50.33732085,-72.26199507
SANTA FE,Las Colonias,Nuevo Torino,425,SI,--,--,--,--,SI,--,--,SI,82070160,-31.34688238,-61.23572573
SANTA FE,Las Colonias,Pilar,4705,SI,--,--,SI,--,SI,SI,SI,SI,82070170,-31.44201582,-61.26002496
SANTA FE,Las Colonias,Plaza Matilde,29,--,--,--,--,--,--,--,--,--,82070180,-31.79748349,-61.01116782
SANTA FE,Las Colonias,Progreso,2118,--,--,--,--,--,SI,SI,SI,SI,82070190,-31.13976895,-60.99025416
SANTA FE,Las Colonias,Providencia,663,--,--,--,--,--,SI,SI,--,SI,82070200,-30.98458684,-61.02182815
SANTA FE,Las Colonias,Sa Pereyra,1533,SI,--,--,--,--,SI,SI,--,--,82070210,-31.5721514,-61.37822311
SANTA FE,Las Colonias,San Agustín,630,--,--,--,--,--,SI,SI,SI,SI,82070220,-31.68477789,-60.94131475
SANTA FE,Las Colonias,San Carlos Centro,10717,SI,SI,--,SI,--,SI,SI,SI,SI,82070230,-31.728418,-61.09139579
SANTA FE,Las Colonias,San Carlos Norte,812,--,SI,--,SI,--,SI,SI,--,SI,82070240,-31.67431058,-61.07625852
SANTA FE,Las Colonias,San Carlos Sud,1927,SI,SI,--,SI,--,SI,SI,SI,SI,82070250,-31.75759541,-61.1007515
SANTA FE,Las Colonias,San Jerónimo del Sauce,742,--,--,--,SI,--,SI,SI,SI,SI,82070260,-31.61121248,-61.14251807
SANTA FE,Las Colonias,San Jerónimo Norte,5962,SI,--,--,SI,--,SI,SI,SI,SI,82070270,-31.55453167,-61.07851415
SANTA FE,Las Colonias,San Mariano,218,--,--,--,--,--,--,SI,--,--,82070280,-31.67021059,-61.34802115
CORDOBA,San Justo,Devoto,6057,SI,--,--,SI,--,--,SI,SI,SI,14140160,-31.40398092,-62.30613939
CORDOBA,San Justo,El Arañado,1746,--,SI,--,--,SI,SI,SI,SI,SI,14140170,-31.74123307,-62.89334437
CORDOBA,San Justo,El Fortín,1648,--,SI,--,--,--,SI,SI,SI,SI,14140180,-31.96725024,-62.30262859
CORDOBA,San Justo,El Fuertecito,297,--,--,--,--,--,SI,SI,--,SI,14140190,-31.40393493,-62.97336577
CORDOBA,San Justo,El Tío,1903,SI,SI,--,SI,--,--,SI,SI,SI,14140200,-31.38454862,-62.82847376
CORDOBA,San Justo,Estación Luxardo,105,--,--,--,--,--,SI,--,SI,SI,14140210,-31.30474888,-62.13330234
CORDOBA,San Justo,Freyre,6620,SI,SI,--,SI,--,SI,SI,SI,SI,14140220,-31.16473193,-62.09763339
CORDOBA,San Justo,La Francia,3720,SI,--,--,SI,--,SI,SI,SI,SI,14140230,-31.40643792,-62.6343581
CORDOBA,San Justo,La Paquita,947,SI,--,--,--,--,SI,--,--,SI,14140240,-30.90705458,-62.21543618
CORDOBA,San Justo,La Tordilla,1257,SI,--,--,--,--,SI,SI,SI,SI,14140250,-31.23524522,-63.05990427
CORDOBA,San Justo,Las Varas,1320,--,--,--,SI,--,--,SI,SI,SI,14140260,-31.80129216,-62.61710472
MENDOZA,Luján de Cuyo,Las Carditas,0,--,--,--,--,--,--,--,--,--,50063050,-32.95511112,-69.28119239
MENDOZA,Luján de Cuyo,Las Compuertas,827,SI,--,SI,--,--,SI,SI,--,SI,50063070,-33.03439536,-68.97572014
MENDOZA,Luján de Cuyo,Las Vegas,450,--,--,--,--,--,SI,SI,--,--,50063080,-33.00587886,-69.27640022
MENDOZA,Luján de Cuyo,Los Manantiales,0,--,--,--,--,--,--,--,SI,SI,50063050,-32.8990128,-69.3340869
MENDOZA,Luján de Cuyo,Luján de Cuyo,82615,SI,SI,SI,SI,--,SI,SI,SI,SI,50063090,-33.03286656,-68.89120663
